,name,song_id_x,song_name,genre,feature_id,danceability,energy,key_,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,number_sections,avg_duration,std_duration,std_loudness,std_tempo,number_keys
933,Kendrick Lamar,439TlnnznSiBbQbgXiBqAd,m.A.A.d city,"conscious hip hop, hip hop, rap, west coast rap",439TlnnznSiBbQbgXiBqAd350120,0.487,0.729,2.0,-6.815,1.0,0.271,0.0538,4.07e-06,0.44,0.217,91.048,350120.0,4.0,15,23.34132933333333,15.782913354584927,4.270723315563212,8.237463498293291,7.0
934,Fleetwood Mac,43TbxuSMutvAnWTCi0xieo,Mystified - 2017 Remaster,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",43TbxuSMutvAnWTCi0xieo189760,0.538,0.356,3.0,-13.791,1.0,0.027,0.737,0.15,0.0871,0.584,178.656,189760.0,4.0,10,18.975995,12.134231280840032,7.831632113848726,0.2648284350291732,5.0
935,Fleetwood Mac,44mVEasniDC1wAhwU4uwx2,Tango in the Night - 2017 Remaster,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",44mVEasniDC1wAhwU4uwx2242880,0.609,0.489,9.0,-11.079,0.0,0.0416,0.0557,0.000955,0.0682,0.416,111.038,242880.0,4.0,14,17.348578571428572,8.16919060347602,12.036593835896003,1.554052343652937,4.0
936,Kanye West,454Epa1vrCGFddHXKyC1kb,Water,"chicago rap, rap",454Epa1vrCGFddHXKyC1kb168420,0.505,0.281,2.0,-12.404,1.0,0.1,0.57,0.000254,0.163,0.283,82.338,168420.0,4.0,13,12.955383076923077,3.983053583335664,3.1591693569102985,1.151990924332127,4.0
937,The Rolling Stones,45LlYl5JmG0tSXG1b6pzwp,Out Of Control,"album rock, british invasion, classic rock, protopunk, rock",45LlYl5JmG0tSXG1b6pzwp285493,0.743,0.562,9.0,-7.876,1.0,0.0422,0.328,0.0547,0.278,0.685,122.217,285493.0,4.0,16,17.843339375,6.8720474624558765,5.135911077890659,1.2469403086488715,6.0
938,Bruce Springsteen,45PwQHOUx6EQZ9pCbMC8lu,Life Itself,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",45PwQHOUx6EQZ9pCbMC8lu240240,0.518,0.79,10.0,-7.925,1.0,0.032,0.0461,0.721,0.0825,0.789,110.492,240240.0,4.0,11,21.84,15.238274752215226,6.645692127577491,0.0935008021355957,4.0
939,Kanye West,466XcSgGAiQxcDrcV0yoMP,Skit #2,"chicago rap, rap",466XcSgGAiQxcDrcV0yoMP31360,0.731,0.412,11.0,-11.59,0.0,0.946,0.253,0.0,0.164,0.95,66.512,31360.0,4.0,2,15.68,1.50486465172121,2.0958644994369258,0.40587929240108694,2.0
940,Kanye West,46fk9wjYcPm0sgym2b7EEE,We Major,"chicago rap, rap",46fk9wjYcPm0sgym2b7EEE448000,0.232,0.883,11.0,-3.659,0.0,0.125,0.0107,0.0,0.045,0.217,84.59,448000.0,4.0,15,29.866667333333332,17.92840439254364,1.181473889843086,14.92450308816248,4.0
941,Bruce Springsteen,46O8AhDbPqUFLjKqHHjNyS,Night Fire - Studio Outtake - 1979,"heartland rock, mellow gold, permanent wave, rock, singer-songwriter",46O8AhDbPqUFLjKqHHjNyS282213,0.448,0.923,9.0,-6.383,0.0,0.0644,0.023,3.32e-05,0.337,0.72,133.13,282213.0,4.0,11,25.65576,18.02808964213624,7.941317755316751,1.7539874053657918,4.0
942,Kanye West,46OFHBw45fNi7QNjSetITR,Hey Mama,"chicago rap, rap",46OFHBw45fNi7QNjSetITR305067,0.625,0.754,7.0,-6.993,1.0,0.189,0.0596,0.0,0.113,0.357,96.186,305067.0,4.0,12,25.4222225,14.502334237553326,0.932991376750562,0.4036194108165262,3.0
